Name,Description,Address,Working hours,Rating,Amount of reviews,Latitude,Longitude,2GIS URL,Additional information
PALMA,кафе,"проспект Рыскулова, 103/4",Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,3.8,809,43.26688,76.869944,https://2gis.com/firm/70000001041266678,"Лагманные ​Узбекская кухня ​Восточная кухня ​Японская кухня ​Кавказская кухня ​Русская кухня ​Европейская кухня ​Казахская кухня ​Завтрак ​Заказ столиков ​Заказ навынос ​Летняя терраса ​Средний чек 2000 тнг. ​Суши ​Пицца ​Шашлык ​Бургеры ​Лапша wok ​Блины ​Пельмени ​Рамен ​Паста ​Рис wok ​Манты ​Стейки ​Том-Ям ​Люля-кебаб ​Картофель-фри ​Лагман ​Хачапури ​Супы ​Наггетсы ​Плов ​Суши ​Пицца ​Шашлык ​Бургеры ​Блины ​Плов ​Десерты ​Паста ​Горячие вторые блюда ​Лагман ​Салаты ​Супы ​Наличный расчёт ​Оплата эл. кошельком ​Кафе ​Доставка готовых блюд ​Столовые ​Это моя компания ​Реклама в 2ГИС ↗ ​Проспект Рыскулова, 103/4 ​2 филиала ​Это моя компания ​Реклама в 2ГИС ↗"
HOGO,кафе,"улица Спортивная, 3",Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00 (по предварительному бронированию: сб-вс),4.7,278,43.200823,76.841868,https://2gis.com/firm/70000001046339155,"Раменные ​Китайская кухня ​Заказ столиков ​Заказ навынос ​Хого ​Поминальные обеды ​Средний чек 10000 тнг. ​Рамен ​Том-Ям ​Картофель-фри ​Наггетсы ​Мидии ​Китайская кухня ​Десерты ​Оплата картой ​Наличный расчёт ​Перевод с карты ​Оплата по QR-коду ​Кафе ​Доставка готовых блюд ​Это моя компания ​Реклама в 2ГИС ↗ ​Улица Спортивная, 3 ​ ​Это моя компания ​Реклама в 2ГИС ↗"
LIFE GRILL,кафе-караоке,"улица Жазылбека, 20/2",Пн: 12:00-01:00; Вт: 12:00-01:00; Ср: 12:00-01:00; Чт: 12:00-01:00; Пт: 12:00-02:00; Сб: 12:00-02:00; Вс: 12:00-24:00,4.7,405,43.202775,76.867057,https://2gis.com/firm/70000001047201716,"Стейк-хаус ​Итальянская кухня ​Кавказская кухня ​Европейская кухня ​Заказ столиков ​Заказ навынос ​Винная карта ​Детское меню ​Меню на английском ​Живая музыка ​Поминальные обеды ​VIP-зал ​Летняя терраса ​Детский уголок ​Танцпол ​Кабинки ​Панорамный вид ​Проведение банкетов ​До 150 мест ​Пицца ​Шашлык ​Бургеры ​Пельмени ​Рамен ​Паста ​Стейки ​Том-Ям ​Люля-кебаб ​Картофель-фри ​Бельгийские вафли ​Салаты ​Хачапури ​Супы ​Блюда на гриле ​Куриные крылышки ​Наггетсы ​Начос ​Кесадилья ​Колбаски ​Мидии ​Хычины ​Кофе с собой ​Глинтвейн ​Смузи ​Пицца ​Шашлык ​Бургеры ​Десерты ​Паста ​Горячие вторые блюда ​Салаты ​Супы ​Оплата картой ​Наличный расчёт ​Перевод с карты ​Оплата по QR-коду ​Кафе ​Доставка готовых блюд ​Бары ​Караоке-залы ​Это моя компания ​Реклама в 2ГИС ↗ ​Улица Жазылбека, 20/2 ​ ​Это моя компания ​Реклама в 2ГИС ↗"
Кульджа Хого,кафе,"улица Гоголя, 8",Пн: 12:00-23:00; Вт: 12:00-23:00; Ср: 12:00-23:00; Чт: 12:00-23:00; Пт: 12:00-23:00; Сб: 12:00-23:00; Вс: 12:00-23:00,3.5,249,43.261029,76.962785,https://2gis.com/firm/70000001055863386,"Китайская кухня ​Узбекская кухня ​Восточная кухня ​Уйгурская кухня ​Заказ столиков ​Заказ навынос ​Детское меню ​Постное меню ​Хого ​VIP-зал ​Детский уголок ​Детская комната ​Кабинки ​Средний чек 4000 тнг. ​До 200 мест ​Оплата картой ​Наличный расчёт ​Оплата через банк ​Перевод с карты ​Это моя компания ​Реклама в 2ГИС ↗ ​Улица Гоголя, 8 ​2 филиала ​Это моя компания ​Реклама в 2ГИС ↗"
TomYumBar,кафе паназиатской кухни,"проспект Сейфуллина, 498",Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-24:00; Сб: 11:00-24:00; Вс: 11:00-23:00,4.4,504,43.251769,76.933414,https://2gis.com/firm/70000001058785497,"Корейская кухня ​Азиатская кухня ​Японская кухня ​Паназиатская кухня ​Гавайская кухня ​Тайская кухня ​Авторская кухня ​Завтрак ​Заказ столиков ​Заказ навынос ​Винная карта ​Детское меню ​Меню на английском ​VIP-зал ​Детский уголок ​Средний чек 5000 тнг. ​До 148 мест ​Суши ​Лапша wok ​Рамен ​Рис wok ​Том-Ям ​Суши ​Горячие вторые блюда ​Оплата картой ​Наличный расчёт ​Рестораны ​Кафе ​Доставка готовых блюд ​Суши-бары ​20 мест ​Бесплатная ​50 мест ​Бесплатная ​Это моя компания ​Реклама в 2ГИС ↗ ​БЦ Алтын Заман ​Проспект Сейфуллина, 498 ​ ​Это моя компания ​Реклама в 2ГИС ↗"
Саксаул,ресторан,"улица Толе би, 128",Пн: 11:00-02:00; Вт: 11:00-02:00; Ср: 11:00-02:00; Чт: 11:00-02:00; Пт: 11:00-02:00; Сб: 11:00-02:00; Вс: 11:00-02:00,4.6,290,43.252378,76.916045,https://2gis.com/firm/70000001068942200,"Шашлычные ​Узбекская кухня ​Восточная кухня ​Казахская кухня ​VIP-зал ​Летняя терраса ​Детский уголок ​Кабинки ​Аниматоры, мастер-классы для детей ​Проведение банкетов ​Средний чек 5000 тнг. ​До 150 мест ​Пицца ​Шашлык ​Пельмени ​Манты ​Стейки ​Люля-кебаб ​Картофель-фри ​Лагман ​Хачапури ​Супы ​Наггетсы ​Плов ​Колбаски ​Хычины ​Рестораны ​Кафе ​Это моя компания ​Реклама в 2ГИС ↗ ​Улица Толе би, 128 ​ ​Это моя компания ​Реклама в 2ГИС ↗"
Пугасов,комплекс,"улица Ришата и Муслима Абдуллиных, 70",Пн: 11:00-02:00; Вт: 11:00-02:00; Ср: 11:00-02:00; Чт: 11:00-02:00; Пт: 11:00-02:00; Сб: 11:00-02:00; Вс: 11:00-02:00,4.7,1248,43.253717,76.960725,https://2gis.com/firm/70000001037704002,"Хинкальные ​Грузинская кухня ​Кавказская кухня ​Европейская кухня ​Заказ столиков ​Заказ навынос ​Винная карта ​Живая музыка ​Поминальные обеды ​VIP-зал ​Летняя терраса ​Детский уголок ​Танцпол ​Кабинки ​Аниматоры, мастер-классы для детей ​Топчан ​Проведение банкетов ​Можно с ноутбуком ​Средний чек 7000 тнг. ​До 120 мест ​Пицца ​Шашлык ​Бургеры ​Хинкали ​Блины ​Пельмени ​Паста ​Манты ​Стейки ​Люля-кебаб ​Картофель-фри ​Салаты ​Хачапури ​Супы ​Блюда на гриле ​Куриные крылышки ​Наггетсы ​Плов ​Пицца ​Шашлык ​Горячие вторые блюда ​Салаты ​Супы ​Wi-Fi ​Туалет ​Наличный расчёт ​Оплата через банк ​Перевод с карты ​Оплата по QR-коду ​Рестораны ​Доставка готовых блюд ​Бары ​Караоке-залы ​Кафе ​Это моя компания ​Реклама в 2ГИС ↗ ​Улица Ришата и Муслима Абдуллиных, 70 ​ ​Это моя компания ​Реклама в 2ГИС ↗"
BarFly,ресторан,"проспект Достык, 52/2",Пн: 17:00-05:00; Вт: 17:00-05:00; Ср: 17:00-05:00; Чт: 17:00-05:00; Пт: 17:00-05:00; Сб: 17:00-05:00; Вс: 17:00-05:00,4.5,210,43.244937,76.957213,https://2gis.com/firm/70000001019848370,"Европейская кухня ​Заказ столиков ​Заказ навынос ​Винная карта ​Постное меню ​VIP-зал ​Летняя терраса ​Кабинки ​Панорамный вид ​Проведение банкетов ​Средний чек 15000 тнг. ​До 120 мест ​Паста ​Стейки ​Том-Ям ​Блюда на гриле ​Оплата картой ​Наличный расчёт ​Оплата через банк ​Рестораны ​Банкетные залы ​Конференц-залы / Переговорные комнаты ​Бары ​30 мест ​Платная ​20 мест ​Платная ​Это моя компания ​Реклама в 2ГИС ↗ ​Гостиница Казахстан ​Проспект Достык, 52/2 ​26 этаж ​ ​Это моя компания ​Реклама в 2ГИС ↗"
Paulaner Bräuhaus Almaty,ресторан,"улица Муканова, 190",Пн: 12:00-01:00; Вт: 12:00-01:00; Ср: 12:00-01:00; Чт: 12:00-01:00; Пт: 12:00-02:00; Сб: 12:00-02:00; Вс: 12:00-01:00,4.1,466,43.24795,76.915745,https://2gis.com/firm/70000001055876564,"Пивной ресторан ​Немецкая кухня ​Заказ столиков ​Винная карта ​Детское меню ​Меню на английском ​Живая музыка ​VIP-зал ​Летняя терраса ​Кабинки ​Панорамный вид ​Аниматоры, мастер-классы для детей ​Проведение банкетов ​Своя пивоварня ​До 650 мест ​Стейки ​Том-Ям ​Блюда на гриле ​Куриные крылышки ​Колбаски ​Жареная рыба ​Оплата картой ​Наличный расчёт ​Рестораны ​Бары ​Это моя компания ​Реклама в 2ГИС ↗ ​Улица Муканова, 190 ​ ​Это моя компания ​Реклама в 2ГИС ↗"
JamBull,ресто-бар,"улица Жамбыла, 155 к2",Пн: 08:00-24:00; Вт: 08:00-24:00; Ср: 08:00-24:00; Чт: 08:00-24:00; Пт: 08:00-24:00; Сб: 10:00-24:00; Вс: 10:00-24:00,4.3,241,43.245913,76.913381,https://2gis.com/firm/70000001046983051,"Гриль-бары ​Итальянская кухня ​Паназиатская кухня ​Европейская кухня ​Завтрак ​Заказ столиков ​Заказ навынос ​Винная карта ​Живая музыка ​Летняя терраса ​Средний чек 7500 тнг. ​Пицца ​Бургеры ​Блины ​Рамен ​Паста ​Стейки ​Том-Ям ​Блюда на гриле ​Боулы ​Колбаски ​Оплата картой ​Наличный расчёт ​Оплата через банк ​Рестораны ​Бары ​Доставка готовых блюд ​Это моя компания ​Реклама в 2ГИС ↗ ​ЖК Отау ​Улица Жамбыла, 155 к2 ​2 филиала ​Это моя компания ​Реклама в 2ГИС ↗"
